,text_id,gender,religion,race,label,score
0,2,1,0,0,0,0.9967851638793945
1,4,2,0,0,1,0.0009401095448993146
2,5,1,0,0,1,0.0012455336982384324
3,6,2,0,0,1,0.006941698025912046
4,7,2,0,0,1,0.0006780654075555503
5,9,1,0,0,0,0.9946343898773193
6,13,1,2,0,1,0.001932639628648758
7,16,2,0,0,1,0.036053720861673355
8,17,2,0,0,1,0.00020757490710821003
9,20,1,0,0,1,0.000608052418101579
10,22,1,0,0,1,0.0003904495679307729
11,31,2,0,0,1,0.00023258014698512852
12,35,2,0,0,1,0.00021241615468170494
13,36,0,2,0,1,0.0004585702554322779
14,41,1,0,0,1,0.0008741868659853935
15,42,2,0,0,0,0.9915457367897034
16,44,0,2,0,1,0.0004566307761706412
17,45,2,0,0,0,0.9989448189735413
18,46,0,2,0,1,0.00025506599922664464
19,49,2,2,0,1,0.0004168313171248883
20,51,2,2,0,1,0.0002887793234549463
21,52,1,0,0,1,0.0015401095151901245
22,58,2,0,0,1,0.00023899429652374238
23,64,2,0,0,0,0.989888608455658
24,66,2,0,0,1,0.0002848042640835047
25,67,2,0,0,1,0.00021977309370413423
26,70,2,0,0,1,0.00025925712543539703
27,71,1,0,0,0,0.9988083839416504
28,72,1,0,1,0,0.9975615739822388
29,74,0,3,0,1,0.00043264502892270684
30,80,0,2,0,1,0.0007008584798313677
31,81,2,0,0,1,0.007689488120377064
32,82,0,2,0,1,0.0008170572109520435
33,83,0,2,1,1,0.0003685597621370107
34,85,2,0,0,1,0.006328559014946222
35,87,2,0,0,1,0.0002659372694324702
36,88,2,0,0,1,0.0002462403499521315
37,90,2,0,0,1,0.0006083758780732751
38,100,2,0,0,1,0.0012627443065866828
39,104,1,1,0,1,0.0021082337480038404
40,105,2,0,0,1,0.006509299855679274
41,107,1,0,0,0,0.9606442451477051
42,111,2,0,0,0,0.9955466985702515
43,112,2,0,0,1,0.0052650910802185535
44,114,2,0,1,1,0.0007516415207646787
