,text_id,gender,religion,race,label,score
0,0,0,0,0,1,0.0011545297456905246
1,1,0,0,0,0,0.9840456247329712
2,2,0,0,2,1,0.011261474341154099
3,3,0,0,2,0,0.9554542303085327
4,4,0,0,2,1,0.002183313714340329
5,5,0,0,0,1,0.0009456109255552292
6,6,0,0,0,1,0.0011483135167509317
7,7,0,0,0,1,0.0014136838726699352
8,8,0,0,0,1,0.0010979746002703905
9,9,0,0,0,0,0.9853187799453735
10,10,0,0,0,1,0.0009786828886717558
11,11,1,0,2,1,0.0007562984246760607
12,12,0,0,0,1,0.0005772551521658897
13,13,0,0,0,1,0.002694722730666399
14,14,0,0,0,1,0.0007100753136910498
15,15,0,0,0,1,0.0020163082517683506
16,16,0,0,2,1,0.003966676536947489
17,17,0,0,0,1,0.0016578828217461705
18,18,1,0,0,1,0.0006387702305801213
19,19,0,0,2,1,0.0006644770037382841
20,20,0,0,0,1,0.0007210850599221885
21,21,0,0,0,0,0.986973762512207
22,22,0,0,2,1,0.0008376126643270254
23,23,0,0,0,1,0.0007301838486455381
24,24,2,0,0,1,0.0009113220148719847
25,25,0,0,0,1,0.0009020267170853913
26,26,0,0,0,1,0.0010303136659786105
27,27,3,0,0,0,0.9809935092926025
28,28,0,0,0,1,0.0008047420997172594
29,29,0,0,0,1,0.0007425945368595421
30,30,0,0,0,1,0.009009399451315403
31,31,0,0,0,1,0.0011573783122003078
32,32,2,0,2,1,0.005864301230758429
33,33,0,0,0,1,0.005477448459714651
34,34,0,0,0,0,0.9392746090888977
35,35,0,0,0,1,0.0009925271151587367
36,36,1,0,0,1,0.0008971674833446741
37,37,1,0,0,1,0.0007901501376181841
38,38,2,0,2,0,0.9840812683105469
39,39,0,0,0,1,0.0014781428035348654
40,40,0,0,0,1,0.0007512454176321626
41,41,0,0,0,1,0.002217696513980627
42,42,2,0,2,0,0.9787391424179077
43,43,0,0,0,1,0.0006985192303545773
44,44,0,0,0,1,0.0009480791050009429
45,45,2,0,2,1,0.001758573460392654
46,46,0,0,0,1,0.0011124510783702135
47,47,0,0,2,1,0.001019321265630424
